categoria_id;marca_id;codigo;descripcion;cantidad;precioCosto;utilidad_id
1;2;200082;TORNILLO METRICO 4-0.7X50 CAB FRESADA;200;72.07;2
1;2;200083;TORNILLO METRICO 4-0.7X55 CAB FRESADA;200;78.05;2
1;2;200084;TORNILLO METRICO 4-0.7X6O CAB FRESADA;200;84.03;2
1;2;200085;TORNILLO METRICO 4-0.7X65 CAB FRESADA;200;90.02;2
1;2;200086;TORNILLO METRICO 4-0.7X70 CAB FRESADA;200;96;2
1;2;200087;TORNILLO METRICO 5-0.8X8 CAB FRESADA;200;28.82;2
1;2;200088;TORNILLO METRICO 5-0.8XI 2 CAB FRESADA;200;34.32;2
1;2;200089;TORNILLO METRICO 5-0.8XI 8 CAB FRESADA;200;39.92;2
1;2;200090;TORNILLO METRICO 5-0.8X25 CAB FRESADA;200;52.37;2
1;2;200091;TORNILLO METRICO 5-0.8X30 CAB FRESADA;200;59.33;2
1;2;200092;TORNILLO METRICO 5-0.8X35 CAB FRESADA;200;66.28;2
1;2;200093;TORNILLO METRICO 5-0.8X4O CAB FRESADA;200;73.12;2
1;2;200094;TORNILLO METRICO 5-0.8X45 CAB FRESADA;200;80.07;2
1;2;200095;TORNILLO METRICO 5-0.8X50 CAB FRESADA;200;87.03;2
1;2;200096;TORNILLO METRICO 5-0.8X65 CAB FRESADA;200;107.88;2
1;2;200097;TORNILLO METRICO 6-1XI2 CAB FRESADA;200;53.07;2
1;2;200098;TORNILLO METRICO 6-1XI5 CAB FRESADA;200;56.73;2
1;2;200099;TORNILLO METRICO 6-1XI8 CAB FRESADA;200;60.71;2
1;2;200100;TORNILLO METRICO 6-1X30 CAB FRESADA;200;86.24;2
1;2;200101;TORNILLO METRICO 6-1X35 CAB FRESADA;200;95.46;2
1;2;200102;TORNILLO METRICO 6-1X40 CAB FRESADA;200;104.67;2
1;2;200103;TORNILLO METRICO 6-1X45 CAB FRESADA;200;114.09;2
1;2;200104;TORNILLO METRICO 6-1X50 CAB FRESADA;200;123.51;2
1;2;200105;TORNILLO METRICO 6-1X55 CAB FRESADA;200;131.88;2
1;2;200106;TORNILLO METRICO 6-1X60 CAB FRESADA;200;141.3;2
1;2;200107;TORNILLO METRICO 6-1X65 CAB FRESADA;200;150.72;2
1;2;200108;TORNILLO METRICO 6-1X70 CAB FRESADA;200;160.14;2
1;2;200109;TORNILLOS P/METALES C/TANQUE 1/8XI/4;200;9.51;2
1;2;200110;TORNILLOS P/METALES C/TANQUE I/8X5/I6;200;10.11;2
1;2;200111;TORNILLOS P/METALES C/TANQUE I/8X3/8;200;10.52;2
1;2;200112;TORNILLOS P/METALES C/TANQUE I/8XI/2;200;12.13;2
1;2;200113;TORNILLOS P/METALES C/TANQUE 1/8X5/8;200;12.52;2
1;2;200114;TORNILLOS P/METALES C/TANQUE 1/8X3/4;200;13.12;2
1;2;200115;TORNILLOS P/METALES C/TANQUE I/8X7/8;200;14.07;2
1;2;200116;TORNILLOS P/METALES C/TANQUE 1/8XI;200;15.18;2
1;2;200117;TORNILLOS P/METALES C/TANQUE I/8XII/4;200;20.86;2
1;2;200118;TORNILLOS P/METALES C/TANQUE I/8XI3/4;200;28.2;2
1;2;200119;TORNILLOS P/METALES C/TANQUE 1/8X2;200;31.54;2
1;2;200120;TORNILLOS P/METALES C/TANQUE 5/32X1/2;200;19.45;2
1;2;200121;TORNILLOS P/METALES C/TANQUE 5/32X5/8;200;20.59;2
1;2;200122;TORNILLOS P/METALES C/TANQUE 5/32X3/4;200;24.02;2
1;2;200123;TORNILLOS P/METALES C/TANQUE 5/32X7/8;200;28.6;2
1;2;200124;TORNILLOS P/METALES C/TANQUE 5/32Xl;200;30.88;2
1;2;200125;TORNILLOS P/METALES C/TANQUE 5/32Xll/4;200;35.46;2
1;2;200126;TORNILLOS P/METALES C/TANQUE 5/32Xl1/2;200;38.9;2
1;2;200127;TORNILLOS P/METALES C/TANQUE 5/32Xl3/4;200;44.61;2
1;2;200128;TORNILLOS P/METALES C/TANQUE 5/32X2;200;49.19;2
1;2;200129;TORNILLOS P/METALES C/TANQUE 3/l6Xl/4;200;18.63;2
1;2;200130;TORNILLOS P/METALES C/TANQUE 3/l6X5/l6;200;20.59;2
1;2;200131;TORNILLOS P/METALES C/TANQUE 3/l6X3/8;200;21.57;2
1;2;200132;TORNILLOS P/METALES C/TANQUE 3/l6Xl/2;200;24.51;2
1;2;200133;TORNILLOS P/METALES C/TANQUE 3/l6X5/8;200;26.47;2
1;2;200134;TORNILLOS P/METALES C/TANQUE 3/l6X3/4;200;30.4;2
1;2;200135;TORNILLOS P/METALES C/TANQUE 3/l6X7/8;200;32.36;2
1;2;200136;TORNILLOS P/METALES C/TANQUE 3/l6Xl;200;37.26;2
1;2;200137;TORNILLOS P/METALES C/TANQUE 3/l6Xl1/4;200;40.2;2
1;2;200138;TORNILLOS P/METALES C/TANQUE 3/l6Xl1/2;200;49.02;2
1;2;200139;TORNILLOS P/METALES C/TANQUE 3/l6Xl3/4;200;53.93;2
1;2;200140;TORNILLOS P/METALES C/TANQUE 3/l6X2;200;59.81;2
1;2;200141;TORNILLOS P/METALES C/TANQUE 3/l6X21/2;200;70.6;2
1;2;200142;TORNILLOS P/METALES C/TANQUE l/4X3/8;200;47.06;2
1;2;200143;TORNILLOS P/METALES C/TANQUE l/4Xl/2;200;52.95;2
1;2;200144;TORNILLOS P/METALES C/TANQUE l/4X5/8;200;56.87;2
1;2;200145;TORNILLOS P/METALES C/TANQUE l/4X3/4;200;62.75;2
1;2;200146;TORNILLOS P/METALES C/TANQUE l/4X7/8;200;67.65;2
1;2;200147;TORNILLOS P/METALES C/TANQUE l/4Xl;200;76.48;2
1;2;200148;TORNILLOS P/METALES C/TANQUE l/4Xl1/4;200;85.3;2
1;2;200149;TORNILLOS P/METALES C/TANQUE l/4Xl1/2;200;97.07;2
1;2;200150;TORNILLOS P/METALES C/TANQUE l/4Xl3/4;200;106.88;2
1;2;200151;TORNILLOS P/METALES C/TANQUE I /4X2;200;111.78;2
1;2;200152;TORNILLOS P/METALES C/TANQUE 1/4X21/2;200;142.17;2
